1 | activity manufacturing |   funded 1150 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity manufacturing |   funded 575 |  country BO |   journal_entries 2 | 
1 | activity food production/sales |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity restaurant |   funded 450 |  country BO |   journal_entries 2 | 
1 | activity manufacturing |   funded 725 |  country BO |   journal_entries 2 | 
1 | activity food |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity general store |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 600 |  country BO |   journal_entries 1 | 
1 | activity home products sales |   funded 525 |  country BO |   journal_entries 1 | 
1 | activity shoe sales |   funded 1175 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 3675 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 4725 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 1875 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 3425 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 2225 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 3875 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 3500 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 4000 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 3375 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 4150 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 4300 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 2400 |  country BO |   journal_entries 1 | 
1 | activity services |   funded 3175 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity embroidery |   funded 400 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 700 |  country BO |   journal_entries 2 | 
1 | activity embroidery |   funded 800 |  country BO |   journal_entries 2 | 
1 | activity knitting |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity machine shop |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity construction |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity retail |   funded 600 |  country BO |   journal_entries 2 | 
1 | activity milk sales |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity taxi |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity embroidery |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity bakery |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity education provider |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity education provider |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 1000 |  country BO |   journal_entries 2 | 
1 | activity embroidery |   funded 300 |  country BO |   journal_entries 2 | 
1 | activity transportation |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity movie tapes & dvds |   funded 500 |  country BO |   journal_entries 2 | 
1 | activity services |   funded 225 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 4425 |  country BO |   journal_entries 3 | 
1 | activity grocery store |   funded 3000 |  country BO |   journal_entries 2 | 
1 | activity general store |   funded 3700 |  country BO |   journal_entries 2 | 
1 | activity cosmetics sales |   funded 2300 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 2025 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 2450 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 3800 |  country BO |   journal_entries 2 | 
1 | activity clothing sales |   funded 2450 |  country BO |   journal_entries 2 | 
1 | activity printing |   funded 1025 |  country BO |   journal_entries 3 | 
1 | activity computers |   funded 400 |  country BO |   journal_entries 1 | 
1 | activity food production/sales |   funded 4175 |  country BO |   journal_entries 1 | 
1 | activity transportation |   funded 4725 |  country BO |   journal_entries 1 | 
